Lenguaje,Algoritmo,Tamano,Tiempo_ns
Java,BusquedaBinaria,10000,5800
Java,BusquedaBinaria,100000,3300
Java,BusquedaBinaria,1000000,4900
Python,BusquedaBinaria,10000,10900
Python,BusquedaBinaria,100000,17500
Python,BusquedaBinaria,1000000,50500
Java,BusquedaTernaria,10000,6100
Java,BusquedaTernaria,100000,3900
Java,BusquedaTernaria,1000000,4900
Python,BusquedaTernaria,10000,11200
Python,BusquedaTernaria,100000,15000
Python,BusquedaTernaria,1000000,20500
Java,JumpSearch,10000,158800
Java,JumpSearch,100000,289000
Java,JumpSearch,1000000,191700
Python,JumpSearch,10000,346100
Python,JumpSearch,100000,141100
Python,JumpSearch,1000000,803300
